Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
AZ185,6901234571851,,卡通手提包眼影,Sombra de ojos con forma de bolso de dibujos animados,6500.000,7800.000,4月30号眼影粉色框,
AZ182,6901234571820,,蝴蝶手提包眼影,Sombra de ojos con forma de bolso de mariposa,4900.000,5900.000,4月30号眼影粉色框,
9007,6922023090070,,70色眼影盘,Paleta de sombras de ojos de 70 colores,5500.000,6600.000,4月30号眼影粉色框,
9085,6922023090858,,单层眼影,Sombra de ojos de una capa,3800.000,4600.000,4月30号眼影粉色框,
9086,6922023090865,,粉双层眼影,Sombra de ojos rosa de doble capa,3800.000,4600.000,4月30号眼影粉色框,
9087,692202309872,,黑白双层眼影,Sombra de ojos blanca y negra de doble capa,3800.000,4600.000,4月30号眼影粉色框,
IC101,6923635813637,,WY焦糖森林夜曲100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC103,6923635813750,,WY椰影凤梨香100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC104,6923635813668,,WY松间奶香草影100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC106,6923635813736,,WY奶油雪松与开心果100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC108,6923635813651,,WY芒果与茉莉的午后100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC109,692363581490,,WY莓果香草甜梦录100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC110,692363581491,,WY棉花糖与苍兰100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC111,692363581493,,WY香草烘培诗100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC112,692363581494,,WY可可焦糖絮语100ML喷雾香水,Perfume de 100ml,2500.000,3000.000,香水不上友购,
IC501,6923635815518,,WY樱桃夜未眠50ML香水喷雾,Perfume de 50ml,1650.000,2000.000,香水不上友购,
IC502,6923635815525,,WY可颂日记50ML香水喷雾,Perfume de 50ml,1650.000,2000.000,香水不上友购,
IC503,6923635815532,,WY奶油草莓梦50ML香水喷雾,Perfume de 50ml,1650.000,2000.000,香水不上友购,
IC504,6923635815549,,WY茉莉咖啡曲50ML香水喷雾,Perfume de 50ml,1650.000,2000.000,香水不上友购,
OLU93950,6936664348407,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93924,6936664347370,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水白底,
OLU93928,6936664348186,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93929,6936664348193,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93962,6936664352466,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93963,6936664352473,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93973,6936664352572,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93927,6936664347400,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU9395,6936664347189,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93958,6936664352428,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU9398,6936664347219,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93921,6936664347349,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU9399,6936664347226,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU9397,6936664347202,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93931,6936664348216,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
